time,lat1,lon1,lat2,lon2,received_rssi,received_snr
1718404552,47.483097076416016,-122.2706528,47.48901674264493,-122.2619576,-112,0.2000000029802322
1718404558,47.48455810546875,-122.2692795,47.48901674264493,-122.2619576,-113,-1.5
1718404565,47.48608398,-122.2673645,47.48901674264493,-122.2619576,-110,3.200000047683716
1718404546,47.48139953613281,-122.2715149,47.48925703694905,-122.2588666,-98,8.5
1718404558,47.48455810546875,-122.2692795,47.48925703694905,-122.2588666,-117,-5.0
1718405942,47.60732650756836,-122.3293839,47.50359742681539,-122.2688148,-115,-14.5
1718405820,47.59946823120117,-122.3214798,47.50359742681539,-122.2688148,-115,-17.20000076
1718404642,47.50321578979492,-122.2776184,47.50359742681539,-122.2688148,-111,-11.19999981
1718404546,47.48139953613281,-122.2715149,47.50359742681539,-122.2688148,-114,-14.5
1718404635,47.50154113769531,-122.2759247,47.50437053197499,-122.2925413,-122,-12.5
1718405903,47.60689163208008,-122.3290329,47.50525762976103,-122.2427078,-121,-15.19999981
1718405782,47.59710311889648,-122.3199844,47.50525762976103,-122.2427078,-118,-16.20000076
1718409062,47.61089324951172,-122.3262482,47.50840335356933,-122.2598313,-127,-15.19999981
1718406012,47.60932922363281,-122.3250122,47.50840335356933,-122.2598313,-123,-14.80000019
1718407297,47.61133575439453,-122.3249512,47.50840335356933,-122.2598313,-127,-13.80000019
1718405853,47.601863861083984,-122.324379,47.50840335356933,-122.2598313,-119,-13.5
1718405109,47.55214309692383,-122.3169174,47.50840335356933,-122.2598313,-123,-12.5
1718405103,47.551788330078125,-122.3166275,47.50840335356933,-122.2598313,-117,-9.5
1718405077,47.55104064941406,-122.315773,47.50840335356933,-122.2598313,-119,-7.5
1718404783,47.53686523,-122.2977142,47.50840335356933,-122.2598313,-119,-9.5
1718405891,47.60641098022461,-122.3286209,47.508746888592974,-122.2464633,-118,-9.199999809
1718407374,47.61062240600586,-122.3249283,47.508746888592974,-122.2464633,-125,-14.19999981
1718404943,47.54756927490234,-122.3101349,47.51072216107213,-122.3459113,-129,-18.20000076
1718404898,47.54674149,-122.3088913,47.51072216107213,-122.3459113,-117,-6.0
1718404873,47.54585266113281,-122.3077621,47.51072216107213,-122.3459113,-114,-7.0
1718404808,47.54140090942383,-122.3029633,47.51072216107213,-122.3459113,-117,-9.199999809
1718404796,47.53948974609375,-122.3007355,47.51072216107213,-122.3459113,-114,-3.200000048
1718404789,47.53824615478516,-122.2992935,47.51072216107213,-122.3459113,-116,-8.5
1718404777,47.53565979003906,-122.2965851,47.51072216107213,-122.3459113,-117,-6.5
1718404770,47.53443908691406,-122.2957077,47.51072216107213,-122.3459113,-123,-12.0
1718404668,47.50970077514648,-122.2828522,47.51666071063937,-122.2684712,-117,-3.799999952
1718406019,47.60949707,-122.3246384,47.51731330472538,-122.2771272,-133,-17.0
1718404668,47.50970077514648,-122.2828522,47.51812118599107,-122.2752717,-116,-2.799999952
1718404533,47.47748947143555,-122.2709579,47.51812118599107,-122.2752717,-120,-3.799999952
1718404662,47.50820159912109,-122.2817383,47.51912869039566,-122.2835544,-111,-0.5
1718404648,47.50474548339844,-122.2790222,47.51912869039566,-122.2835544,-116,-4.800000191
1718404642,47.50321578979492,-122.2776184,47.51912869039566,-122.2835544,-111,0.0
1718404533,47.47748947143555,-122.2709579,47.51912869039566,-122.2835544,-123,-10.19999981
1718404527,47.47575759887695,-122.2701035,47.51912869039566,-122.2835544,-119,-7.0
1718404731,47.52537536621094,-122.2916565,47.52369040459335,-122.2881058,-121,-10.0
1718404719,47.52248001098633,-122.2907639,47.52369040459335,-122.2881058,-108,1.0
1718404860,47.54526901245117,-122.3071289,47.53004769249184,-122.3186938,-130,-14.19999981
1718404783,47.53686523,-122.2977142,47.53004769249184,-122.3186938,-121,-4.0
1718404758,47.53165817260742,-122.2942734,47.53004769249184,-122.3186938,-114,1.2000000476837158
1718405481,47.57029342651367,-122.3199463,47.530655757870726,-122.2715428,-119,-13.80000019
1718405142,47.55356979370117,-122.3178024,47.530655757870726,-122.2715428,-114,-11.0
1718405123,47.55265045166016,-122.3172607,47.530655757870726,-122.2715428,-117,-11.80000019
