time,sent_lat,sent_lon,hotspot_lat,hotspot_lon,received_rssi,received_snr
1718319706,38.25682449,-122.0636215,38.24403925,-122.0683464,-109,1
1718325343,39.42860031,-122.1932068,39.43676293,-121.450996,-113,-12.80000019
1718376319,42.31433105,-122.8527679,42.32228035,-122.8606743,-113,-9.199999809
1718376275,42.31373215,-122.8492661,42.32228035,-122.8606743,-127,-12.5
1718376717,42.40612793,-122.9429932,42.34484525,-122.8091083,-115,-5.5
1718337094,42.31224442,-122.8495407,42.34484525,-122.8091083,-105,6.199999809265137
1718388977,44.54919434,-123.061615,44.54819324,-123.1093836,-108,1
1718388951,44.54175949,-123.0615845,44.54819324,-123.1093836,-109,6.199999809265137
1718390111,44.8657341,-123.0061646,44.8877924,-122.9856608,-132,-14.5
1718390290,44.91456223,-122.9881821,44.94739709,-123.0226275,-124,-10.19999981
1718391167,45.15467453,-122.8767929,45.16653353,-122.8684123,-99,6.199999809265137
1718393064,45.35142899,-122.7648315,45.40882504,-122.8111855,-121,-13.19999981
1718393410,45.44226074,-122.7410507,45.44725327,-122.7348007,-125,-9.800000191
1718393410,45.44226074,-122.7410507,45.44725327,-122.7348007,-126,-8.5
1718394102,45.5084343,-122.6683807,45.51342062,-122.6970643,-109,-6
1718394127,45.51185226,-122.6673355,45.51943994,-122.6749711,-83,9.800000190734863
1718394876,45.60277176,-122.6830215,45.68307376,-122.8230042,-113,-5.800000191
1718394896,45.60435867,-122.6825485,45.68307376,-122.8230042,-113,-6.5
1718394940,45.60778809,-122.6811371,45.68307376,-122.8230042,-106,0.5
1718395741,45.79395676,-122.6760483,45.77066183,-122.5878556,-119,-13
1718395645,45.76844406,-122.668129,45.77066183,-122.5878556,-112,-7.199999809
1718396061,45.88416672,-122.7278824,45.93054219,-122.7401239,-119,-9.199999809
1718405116,47.55236816,-122.3170853,47.42108475,-122.2130854,-117,-8.800000191
1718405027,47.55006027,-122.3141861,47.51250611,-122.3329719,-115,-3.5
1718404969,47.54835129,-122.3113861,47.51250611,-122.3329719,-112,-9.199999809
1718405225,47.55760574,-122.3204498,47.56667388,-122.3880659,-117,-8.5
1718409228,47.61487961,-122.3300934,47.57321906,-122.3131096,-130,-15.19999981
1718405839,47.60083008,-122.3231125,47.57321906,-122.3131096,-121,-6
1718409235,47.61487961,-122.3300934,47.61922143,-122.3343769,-113,-8.199999809
1718409556,47.62999344,-122.3253098,47.61922143,-122.3343769,-118,-11.5
